HUD ID Number:,Project Name:,Project Address:,Project City:,Project State:,Project ZIP Code:,Project's Latitude:,Project's Longitude:,Unique 2010 Census Tract Identifier Code:,Total Number of Units:,Total Low-Income Units:,Compliance Monitoring Status
ORA00000001,333 OAK APTS,333 SW OAK ST,PORTLAND,OR,97204,45.52111435,-122.6741714,41051010600,9,,Not Indicated
ORA00000002,ANKENY WOODS ARMS,11908 SE ANKENY ST,PORTLAND,OR,97216,45.52159882,-122.5401306,41051008202,40,,Not Indicated
ORA00000005,KELLY DUPLEX,5531 SW KELLY AVE,PORTLAND,OR,97239,45.48360443,-122.6760254,41051005900,,,No Longer Monitored
ORA00000011,"CEDARS APTS, THE",3181 SE POWELL BLVD,GRESHAM,OR,97080,45.49229813,-122.4002075,41051010411,19,,Not Indicated
ORA00000013,COLUMBIA KNOLL (FAMILY),8224 NE SANDY BLVD,PORTLAND,OR,97220,45.55256653,-122.5778351,41051002903,117,,Not Indicated
ORA00000042,THE ST FRANCIS,1110 SW 11TH AVE,PORTLAND,OR,97205,45.51715851,-122.6845627,41051010600,106,,Not Indicated
ORA00000044,TWELFTH AVENUE TERRACE,1529 SW 12TH AVE,PORTLAND,OR,97201,45.51498032,-122.6874084,41051005500,118,,Not Indicated
ORA00000046,"VILLA DE CLARA VISTA (VISTA DE ROSAS,CULLY PLACE)",6936 NE KILLINGSWORTH ST,PORTLAND,OR,97218,45.5626297,-122.5911102,41051007600,130,,Not Indicated
ORA00000050,YARDS AT UNION STATION A,945 NW NAITO PKWY,PORTLAND,OR,97209,45.53007507,-122.6757813,41051005100,143,,Not Indicated
ORA00000051,YARDS AT UNION STATION B,945 NW NAITO PKWY,PORTLAND,OR,97209,45.53007507,-122.6757813,41051005100,134,,Not Indicated
ORA19870005,8-PLEX,7816 N PORTSMOUTH AVE,PORTLAND,OR,97203,45.58356857,-122.7229996,41051004001,8,8,Not Indicated
ORA19870010,ASTORIA HOTEL,333 NW SIXTH AVE,PORTLAND,OR,97209,45.52542877,-122.6767578,41051005100,70,70,Not Indicated
ORA19870015,AINSWORTH DUPLEX,1225 NE AINSWORTH ST,PORTLAND,OR,97211,45.5665741,-122.6527481,41051003601,2,2,Not Indicated
ORA19870020,DUPLEX,2815 SE FRANCIS ST,PORTLAND,OR,97202,45.49496078,-122.637352,41051000902,2,2,No Longer Monitored
ORA19980125,YARDS AT UNION STATION I,945 NW NAITO PKWY,PORTLAND,OR,97209,45.53007507,-122.6757813,41051005100,158,158,Not Indicated
ORA19990020,CANDALARIA APTS,1009 SE 162ND AVE,PORTLAND,OR,97233,45.51546478,-122.4967346,41051009701,32,32,Not Indicated
ORA19990025,CASCADE CROSSING,10625 E BURNSIDE ST,PORTLAND,OR,97216,45.52283096,-122.5539322,41051008100,74,74,Not Indicated
ORA19990055,FIFTH AVE COURTS,733 SW SECOND AVE,PORTLAND,OR,97204,45.51761627,-122.6750031,41051010600,96,48,Not Indicated
ORA19990065,HAMILTON WEST APTS,1212 SW CLAY ST,PORTLAND,OR,97201,45.5152092,-122.6875916,41051005500,152,152,Not Indicated
ORA19990070,HOLGATE PLAZA APTS,4333 SE 104TH AVE,PORTLAND,OR,97266,45.49101639,-122.5560074,41051008302,48,48,Not Indicated
ORA19990080,MACDONALD CTR ALF,615 NW COUCH ST,PORTLAND,OR,97209,45.52393341,-122.677063,41051005100,54,54,Not Indicated
ORA19990085,MARWOOD PLAZA APTS,7200 SE WOODSTOCK BLVD,PORTLAND,OR,97206,45.47936249,-122.5892639,41051000502,40,40,Not Indicated
ORA19990090,MINERVA PLAZA APTS,6633 N OBERLIN ST,PORTLAND,OR,97203,45.58486176,-122.7355576,41051004002,15,15,Not Indicated
ORA19990125,ROCKWOOD LANDING,19045 SE YAMHILL ST,PORTLAND,OR,97233,45.51568985,-122.4666901,41051009801,36,35,Not Indicated
ORA19990135,SCOTT CREST PLAZA APTS,13223 SE POWELL BLVD,PORTLAND,OR,97236,45.49765015,-122.5271454,41051009000,42,42,Not Indicated
ORA19990140,ST ANTHONY VILLAGE,3560 SE 79TH AVE,PORTLAND,OR,97206,45.4965477,-122.5823059,41051000702,128,106,Not Indicated
ORA19990150,VILLA DE SUENOS,6444 NE KILLINGSWORTH ST,PORTLAND,OR,97218,45.56257248,-122.5960846,41051007500,28,28,Not Indicated
ORA19990155,VILLAGE AT LOVEJOY FOUNTAIN,245 SW LINCOLN ST,PORTLAND,OR,97201,45.50815964,-122.680069,41051005700,198,40,Not Indicated
ORA19990160,VILLAGE GARDENS,15230 NE SANDY BLVD,PORTLAND,OR,97230,45.55129242,-122.5050964,41051009501,59,59,Not Indicated
ORA19990165,YARDS AT UNION STATION II,945 NW NAITO PKWY,PORTLAND,OR,97209,45.53007507,-122.6757813,41051005100,321,134,Not Indicated
ORA20000005,ALPHA APTS,18088 SE MARKET ST,PORTLAND,OR,97233,45.512146,-122.4766769,41051009702,22,22,Not Indicated
ORA20000025,CENTER VILLAGE APTS,5814 NE HOYT ST,PORTLAND,OR,97213,45.52706528,-122.6035385,41051001801,60,60,Not Indicated
ORA20000030,COLLINS CIRCLE,1730 SW JEFFERSON ST,PORTLAND,OR,97201,45.51772308,-122.692215,41051005500,124,52,Not Indicated
ORA20000055,KAFOURY COMMONS,1240 SW COLUMBIA ST,PORTLAND,OR,97201,45.51594925,-122.6875305,41051005500,129,92,Not Indicated
ORA20000065,MCCULLER CROSSING,236 N KILLINGSWORTH ST,PORTLAND,OR,97217,45.56254196,-122.6690521,41051003401,40,40,Not Indicated
ORA19870035,HOUSE,1525 NE EMERSON ST,PORTLAND,OR,97211,45.56174088,-122.6494598,41051003200,1,1,No Longer Monitored
ORA19870040,HOUSE,2024 NE EMERSON ST,PORTLAND,OR,97211,45.56139374,-122.6443634,41051003200,1,1,No Longer Monitored
ORA19870045,HOUSE,3514 NE CLEVELAND AVE,PORTLAND,OR,97212,45.54837036,-122.6654587,41051003402,1,1,No Longer Monitored
ORA19870050,HOUSE,4403 NE 16TH AVE,PORTLAND,OR,97211,45.55491638,-122.6495667,41051003200,1,1,No Longer Monitored
ORA19870055,HOUSE,5215 NE GARFIELD AVE,PORTLAND,OR,97211,45.56074524,-122.6628723,41051003401,1,1,No Longer Monitored
ORA19870060,HOUSE,6635 NE 24TH AVE,PORTLAND,OR,97211,45.57077789,-122.6415787,41051003602,1,1,No Longer Monitored
ORA19870065,HOUSE,7034 NE SEVENTH PL,PORTLAND,OR,97211,45.57362747,-122.6573029,41051003601,1,1,No Longer Monitored
ORA19870070,HOUSE,8523 N CURTIS AVE,PORTLAND,OR,97217,45.58482742,-122.6987457,41051003901,1,1,No Longer Monitored
ORA19870080,KILLINGSWORTH HOUSE,1707 NE KILLINGSWORTH ST,PORTLAND,OR,97211,45.56287766,-122.647789,41051003602,1,1,No Longer Monitored
