OBJECTID,GEOID,geoname,Stusab,Countyname,State,County,Tract,BLKGRP,Low,Lowmod,Lowmoduniv,Lowmod_pct,SHAPE_Length,SHAPE_Area,Low_vs_Lowmod_pct
163647,410510001001,"Block Group 1, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,1,40,125,625,0.2,0.100075774776123,0.0004700729489015,65.7513258691809
163648,410510001002,"Block Group 2, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,2,125,160,1115,0.1435,0.0294035628252302,3.43719876328824e-05,64.82797226887138
163649,410510001003,"Block Group 3, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,3,160,265,710,0.3732,0.0197603451347855,2.30553598233725e-05,63.515358361774744
163650,410510001004,"Block Group 4, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,4,210,480,1225,0.3918,0.0235596884143417,3.46372990330091e-05,64.34745030250649
163651,410510001005,"Block Group 5, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,5,80,170,640,0.2656,0.0202374549025307,2.44069411394473e-05,62.21060492905153
163652,410510001006,"Block Group 6, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,6,220,355,775,0.4581,0.0284253465017606,4.64233366245043e-05,31.25
163653,410510001007,"Block Group 7, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,7,220,350,940,0.3723,0.0390905452150769,4.24435196180467e-05,46.06741573033708
163654,410510002001,"Block Group 1, Census Tract 2, Multnomah County, Oregon",OR,Multnomah County,41,51,200,1,505,680,1340,0.5075,0.0338857189062796,6.71120537474402e-05,65.7513258691809
163655,410510002002,"Block Group 2, Census Tract 2, Multnomah County, Oregon",OR,Multnomah County,41,51,200,2,670,730,2125,0.3435,0.0332161004932591,6.80659032236269e-05,64.82797226887138
163656,410510002003,"Block Group 3, Census Tract 2, Multnomah County, Oregon",OR,Multnomah County,41,51,200,3,400,585,1855,0.3154,0.0393317634774092,8.24790220750246e-05,63.515358361774744
163657,410510002004,"Block Group 4, Census Tract 2, Multnomah County, Oregon",OR,Multnomah County,41,51,200,4,340,500,1095,0.4566,0.0348798459459184,5.64677111236843e-05,64.34745030250649
163658,410510003011,"Block Group 1, Census Tract 3.01, Multnomah County, Oregon",OR,Multnomah County,41,51,301,1,460,580,1290,0.4496,0.0227362076587213,2.9957715002717e-05,65.7513258691809
163659,410510003012,"Block Group 2, Census Tract 3.01, Multnomah County, Oregon",OR,Multnomah County,41,51,301,2,140,245,600,0.4083,0.0742607574728445,0.0001707673011842,64.82797226887138
163660,410510003013,"Block Group 3, Census Tract 3.01, Multnomah County, Oregon",OR,Multnomah County,41,51,301,3,690,1055,1555,0.6785,0.028623883154781,4.94061115363142e-05,63.515358361774744
163661,410510003014,"Block Group 4, Census Tract 3.01, Multnomah County, Oregon",OR,Multnomah County,41,51,301,4,550,945,1165,0.8112,0.017630734382796,1.78435039879919e-05,64.34745030250649
163662,410510003021,"Block Group 1, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,1,110,300,1340,0.2239,0.0296659892446274,4.95244953643469e-05,65.7513258691809
163663,410510003022,"Block Group 2, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,2,185,365,1400,0.2607,0.0335319047039952,5.93002218407364e-05,64.82797226887138
163664,410510003023,"Block Group 3, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,3,50,90,615,0.1463,0.0238626795856948,3.23286337574857e-05,63.515358361774744
163665,410510003024,"Block Group 4, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,4,210,245,1505,0.1628,0.0709755750321168,0.000133005508877,64.34745030250649
163666,410510003025,"Block Group 5, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,5,115,140,995,0.1407,0.0347315483429143,4.47651085634294e-05,62.21060492905153
163667,410510003026,"Block Group 6, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,6,125,125,1055,0.1185,0.0336909290300281,5.10069641305483e-05,31.25
163668,410510004011,"Block Group 1, Census Tract 4.01, Multnomah County, Oregon",OR,Multnomah County,41,51,401,1,390,505,1340,0.3769,0.0298311562756742,4.09010952675149e-05,65.7513258691809
163669,410510004012,"Block Group 2, Census Tract 4.01, Multnomah County, Oregon",OR,Multnomah County,41,51,401,2,115,275,620,0.4435,0.0262933572380311,3.79058634309954e-05,64.82797226887138
163670,410510004013,"Block Group 3, Census Tract 4.01, Multnomah County, Oregon",OR,Multnomah County,41,51,401,3,195,355,1040,0.3413,0.0390350646299842,5.32386433120175e-05,63.515358361774744
163671,410510004014,"Block Group 4, Census Tract 4.01, Multnomah County, Oregon",OR,Multnomah County,41,51,401,4,140,170,765,0.2222,0.0201154966855439,2.40866902775889e-05,64.34745030250649
163672,410510004021,"Block Group 1, Census Tract 4.02, Multnomah County, Oregon",OR,Multnomah County,41,51,402,1,280,390,1020,0.3824,0.0294633329672675,4.72823183008592e-05,65.7513258691809
163673,410510004022,"Block Group 2, Census Tract 4.02, Multnomah County, Oregon",OR,Multnomah County,41,51,402,2,95,175,740,0.2365,0.0272806279661155,4.08455227410879e-05,64.82797226887138
163674,410510004023,"Block Group 3, Census Tract 4.02, Multnomah County, Oregon",OR,Multnomah County,41,51,402,3,170,500,1360,0.3676,0.0284527773542872,4.6602127465957e-05,63.515358361774744
163675,410510005011,"Block Group 1, Census Tract 5.01, Multnomah County, Oregon",OR,Multnomah County,41,51,501,1,325,460,675,0.6815,0.0222147524234562,2.96726272999734e-05,65.7513258691809
163676,410510005012,"Block Group 2, Census Tract 5.01, Multnomah County, Oregon",OR,Multnomah County,41,51,501,2,310,580,1110,0.5225,0.0222182344581484,3.06909311485147e-05,64.82797226887138
163677,410510005013,"Block Group 3, Census Tract 5.01, Multnomah County, Oregon",OR,Multnomah County,41,51,501,3,200,400,885,0.452,0.0247500877988005,3.71955701900181e-05,63.515358361774744
163678,410510005014,"Block Group 4, Census Tract 5.01, Multnomah County, Oregon",OR,Multnomah County,41,51,501,4,380,535,1155,0.4632,0.0234751108490678,3.22842806750065e-05,64.34745030250649
163679,410510005021,"Block Group 1, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,1,500,605,990,0.6111,0.027196993773198,4.40914392060645e-05,65.7513258691809
163680,410510005022,"Block Group 2, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,2,145,430,630,0.6825,0.01909819461182,2.17210380149852e-05,64.82797226887138
163681,410510005023,"Block Group 3, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,3,160,660,1090,0.6055,0.0278767580225863,3.11314745184983e-05,63.515358361774744
163682,410510005024,"Block Group 4, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,4,465,770,1250,0.616,0.0253992619712968,3.79434298898946e-05,64.34745030250649
163683,410510005025,"Block Group 5, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,5,285,395,840,0.4702,0.0305069980395056,3.04813921535757e-05,62.21060492905153
