OBJECTID,GEOID,geoname,Stusab,Countyname,State,County,Tract,BLKGRP,Low,Lowmod,Lowmoduniv,Lowmod_pct,Low_vs_Lowmod_pct
163647,410510001001,"Block Group 1, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,1,40,125,625,0.2,65.7513258691809
163648,410510001002,"Block Group 2, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,2,125,160,1115,0.1435,
163649,410510001003,"Block Group 3, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,3,160,265,710,0.3732,
163650,410510001004,"Block Group 4, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,4,210,480,1225,0.3918,
163651,410510001005,"Block Group 5, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,5,80,170,640,0.2656,
163652,410510001006,"Block Group 6, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,6,220,355,775,0.4581,
163653,410510001007,"Block Group 7, Census Tract 1, Multnomah County, Oregon",OR,Multnomah County,41,51,100,7,220,350,940,0.3723,
163654,410510002001,"Block Group 1, Census Tract 2, Multnomah County, Oregon",OR,Multnomah County,41,51,200,1,505,680,1340,0.5075,65.7513258691809
163655,410510002002,"Block Group 2, Census Tract 2, Multnomah County, Oregon",OR,Multnomah County,41,51,200,2,670,730,2125,0.3435,
163656,410510002003,"Block Group 3, Census Tract 2, Multnomah County, Oregon",OR,Multnomah County,41,51,200,3,400,585,1855,0.3154,
163657,410510002004,"Block Group 4, Census Tract 2, Multnomah County, Oregon",OR,Multnomah County,41,51,200,4,340,500,1095,0.4566,
163658,410510003011,"Block Group 1, Census Tract 3.01, Multnomah County, Oregon",OR,Multnomah County,41,51,301,1,460,580,1290,0.4496,65.7513258691809
163659,410510003012,"Block Group 2, Census Tract 3.01, Multnomah County, Oregon",OR,Multnomah County,41,51,301,2,140,245,600,0.4083,
163660,410510003013,"Block Group 3, Census Tract 3.01, Multnomah County, Oregon",OR,Multnomah County,41,51,301,3,690,1055,1555,0.6785,
163661,410510003014,"Block Group 4, Census Tract 3.01, Multnomah County, Oregon",OR,Multnomah County,41,51,301,4,550,945,1165,0.8112,
163662,410510003021,"Block Group 1, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,1,110,300,1340,0.2239,65.7513258691809
163663,410510003022,"Block Group 2, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,2,185,365,1400,0.2607,
163664,410510003023,"Block Group 3, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,3,50,90,615,0.1463,
163665,410510003024,"Block Group 4, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,4,210,245,1505,0.1628,
163666,410510003025,"Block Group 5, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,5,115,140,995,0.1407,
163667,410510003026,"Block Group 6, Census Tract 3.02, Multnomah County, Oregon",OR,Multnomah County,41,51,302,6,125,125,1055,0.1185,
163668,410510004011,"Block Group 1, Census Tract 4.01, Multnomah County, Oregon",OR,Multnomah County,41,51,401,1,390,505,1340,0.3769,65.7513258691809
163669,410510004012,"Block Group 2, Census Tract 4.01, Multnomah County, Oregon",OR,Multnomah County,41,51,401,2,115,275,620,0.4435,
163670,410510004013,"Block Group 3, Census Tract 4.01, Multnomah County, Oregon",OR,Multnomah County,41,51,401,3,195,355,1040,0.3413,
163671,410510004014,"Block Group 4, Census Tract 4.01, Multnomah County, Oregon",OR,Multnomah County,41,51,401,4,140,170,765,0.2222,
163672,410510004021,"Block Group 1, Census Tract 4.02, Multnomah County, Oregon",OR,Multnomah County,41,51,402,1,280,390,1020,0.3824,65.7513258691809
163673,410510004022,"Block Group 2, Census Tract 4.02, Multnomah County, Oregon",OR,Multnomah County,41,51,402,2,95,175,740,0.2365,
163674,410510004023,"Block Group 3, Census Tract 4.02, Multnomah County, Oregon",OR,Multnomah County,41,51,402,3,170,500,1360,0.3676,
163675,410510005011,"Block Group 1, Census Tract 5.01, Multnomah County, Oregon",OR,Multnomah County,41,51,501,1,325,460,675,0.6815,65.7513258691809
163676,410510005012,"Block Group 2, Census Tract 5.01, Multnomah County, Oregon",OR,Multnomah County,41,51,501,2,310,580,1110,0.5225,
163677,410510005013,"Block Group 3, Census Tract 5.01, Multnomah County, Oregon",OR,Multnomah County,41,51,501,3,200,400,885,0.452,
163678,410510005014,"Block Group 4, Census Tract 5.01, Multnomah County, Oregon",OR,Multnomah County,41,51,501,4,380,535,1155,0.4632,
163679,410510005021,"Block Group 1, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,1,500,605,990,0.6111,65.7513258691809
163680,410510005022,"Block Group 2, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,2,145,430,630,0.6825,
163681,410510005023,"Block Group 3, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,3,160,660,1090,0.6055,
163682,410510005024,"Block Group 4, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,4,465,770,1250,0.616,
163683,410510005025,"Block Group 5, Census Tract 5.02, Multnomah County, Oregon",OR,Multnomah County,41,51,502,5,285,395,840,0.4702,
163684,410510006011,"Block Group 1, Census Tract 6.01, Multnomah County, Oregon",OR,Multnomah County,41,51,601,1,1115,1520,2200,0.6909,65.7513258691809
163685,410510006012,"Block Group 2, Census Tract 6.01, Multnomah County, Oregon",OR,Multnomah County,41,51,601,2,465,530,1040,0.5096,
163686,410510006013,"Block Group 3, Census Tract 6.01, Multnomah County, Oregon",OR,Multnomah County,41,51,601,3,280,445,665,0.6692,
163687,410510006014,"Block Group 4, Census Tract 6.01, Multnomah County, Oregon",OR,Multnomah County,41,51,601,4,510,785,1745,0.4499,
163688,410510006021,"Block Group 1, Census Tract 6.02, Multnomah County, Oregon",OR,Multnomah County,41,51,602,1,500,790,1150,0.687,65.7513258691809
163689,410510006022,"Block Group 2, Census Tract 6.02, Multnomah County, Oregon",OR,Multnomah County,41,51,602,2,505,1060,2220,0.4775,
163690,410510006023,"Block Group 3, Census Tract 6.02, Multnomah County, Oregon",OR,Multnomah County,41,51,602,3,180,790,1270,0.622,
163691,410510006024,"Block Group 4, Census Tract 6.02, Multnomah County, Oregon",OR,Multnomah County,41,51,602,4,620,920,1280,0.7188,
163692,410510007011,"Block Group 1, Census Tract 7.01, Multnomah County, Oregon",OR,Multnomah County,41,51,701,1,640,755,1300,0.5808,65.7513258691809
163693,410510007012,"Block Group 2, Census Tract 7.01, Multnomah County, Oregon",OR,Multnomah County,41,51,701,2,380,505,1155,0.4372,
163694,410510007013,"Block Group 3, Census Tract 7.01, Multnomah County, Oregon",OR,Multnomah County,41,51,701,3,520,665,1565,0.4249,
163695,410510007014,"Block Group 4, Census Tract 7.01, Multnomah County, Oregon",OR,Multnomah County,41,51,701,4,160,310,790,0.3924,
163696,410510007021,"Block Group 1, Census Tract 7.02, Multnomah County, Oregon",OR,Multnomah County,41,51,702,1,285,685,995,0.6884,65.7513258691809
163697,410510007022,"Block Group 2, Census Tract 7.02, Multnomah County, Oregon",OR,Multnomah County,41,51,702,2,240,420,990,0.4242,
163698,410510007023,"Block Group 3, Census Tract 7.02, Multnomah County, Oregon",OR,Multnomah County,41,51,702,3,410,705,1190,0.5924,
163699,410510007024,"Block Group 4, Census Tract 7.02, Multnomah County, Oregon",OR,Multnomah County,41,51,702,4,405,815,1335,0.6105,
163700,410510008011,"Block Group 1, Census Tract 8.01, Multnomah County, Oregon",OR,Multnomah County,41,51,801,1,180,480,1035,0.4638,65.7513258691809
163701,410510008012,"Block Group 2, Census Tract 8.01, Multnomah County, Oregon",OR,Multnomah County,41,51,801,2,545,685,1230,0.5569,
163702,410510008013,"Block Group 3, Census Tract 8.01, Multnomah County, Oregon",OR,Multnomah County,41,51,801,3,215,330,1060,0.3113,
163703,410510008014,"Block Group 4, Census Tract 8.01, Multnomah County, Oregon",OR,Multnomah County,41,51,801,4,365,455,1100,0.4136,
163704,410510008021,"Block Group 1, Census Tract 8.02, Multnomah County, Oregon",OR,Multnomah County,41,51,802,1,425,545,1045,0.5215,65.7513258691809
163705,410510008022,"Block Group 2, Census Tract 8.02, Multnomah County, Oregon",OR,Multnomah County,41,51,802,2,190,285,760,0.375,
163706,410510008023,"Block Group 3, Census Tract 8.02, Multnomah County, Oregon",OR,Multnomah County,41,51,802,3,330,505,1245,0.4056,
163707,410510008024,"Block Group 4, Census Tract 8.02, Multnomah County, Oregon",OR,Multnomah County,41,51,802,4,665,950,1540,0.6169,
163708,410510009011,"Block Group 1, Census Tract 9.01, Multnomah County, Oregon",OR,Multnomah County,41,51,901,1,360,575,1260,0.4563,65.7513258691809
163709,410510009012,"Block Group 2, Census Tract 9.01, Multnomah County, Oregon",OR,Multnomah County,41,51,901,2,380,550,1030,0.534,
163710,410510009013,"Block Group 3, Census Tract 9.01, Multnomah County, Oregon",OR,Multnomah County,41,51,901,3,190,315,885,0.3559,
163711,410510009014,"Block Group 4, Census Tract 9.01, Multnomah County, Oregon",OR,Multnomah County,41,51,901,4,175,250,905,0.2762,
163712,410510009021,"Block Group 1, Census Tract 9.02, Multnomah County, Oregon",OR,Multnomah County,41,51,902,1,975,1455,1785,0.8151,65.7513258691809
163713,410510009022,"Block Group 2, Census Tract 9.02, Multnomah County, Oregon",OR,Multnomah County,41,51,902,2,430,675,1090,0.6193,
