Year,Home Value
8/31/2000,165215
8/31/2001,170574
8/31/2002,180853
8/31/2003,191245
8/31/2004,204057
8/31/2005,233035
8/31/2006,275419
8/31/2007,293284
8/31/2008,284410
8/31/2009,258380
8/31/2010,248431
8/31/2011,226984
8/31/2012,228589
8/31/2013,258163
8/31/2014,284227
8/31/2015,320634
8/31/2016,377268
8/31/2017,407015
8/31/2018,417255
8/31/2019,419389
8/31/2020,436491
8/31/2021,508148
8/31/2000,165215
8/31/2001,170574
8/31/2002,180853
8/31/2003,191245
8/31/2004,204057
8/31/2005,233035
8/31/2006,275419
8/31/2007,293284
8/31/2008,284410
8/31/2009,258380
8/31/2010,248431
8/31/2011,226984
8/31/2012,228589
8/31/2013,258163
8/31/2014,284227
8/31/2015,320634
8/31/2016,377268
8/31/2017,407015
8/31/2018,417255
8/31/2019,419389
8/31/2020,436491
8/31/2021,508148
8/31/2022,539570
